address,agent_name,agent_url,available,balcony,city,construction_type,deposit,description,district,dwelling_type,energy_rating,house_name,house_url,interior,living_area_m2,maximum_months,minimum_months,number_of_bathrooms,number_of_bedrooms,number_of_rooms,offered_since,pets_allowed,price,property_type,rental_agreement,service_cost,smoking_allowed,status,year_of_construction
6443 CG (Haansberg),GMVM Beheer,https://www.pararius.com/real-estate-agents/roosteren/gmvm-beheer,06-01-2025,Not present,Brunssum,,1178.0,"Description 

                                                         Neat furnished room in the center of Brunssum, near all daily amenities. 
 The room is located on the second floor of the building, is approx 14m2 in size and furnished with a bed + mattress, table + chair and closet. The room also has its own kitchenette and a balcony. 
 Bathrooms and toilets are shared with the 10 co-residents. 
The rent includes gas, water, electricity, service costs, furniture etc.",Haansberg,Room,,For rent: Room Rumpenerstraat,https://www.pararius.com/room-for-rent/brunssum/e4232443/rumpenerstraat,Furnished,14.0,,6,,,1,23-12-2024,No,690.0,,Unlimited period,"Includes: Electricity, Gas, Internet, Service costs, Water",No,For rent,
2597 TZ (Duinzigt),Estata Makelaars O.G.,https://www.pararius.com/real-estate-agents/den-haag/estata-makelaars-o-g,15-01-2025,Present,Den Haag,Existing building,,"Description 

                                                         Bright and spacious 3-room apartment in Benoordenhout with the Clingendael forrest and the shops of Willem Royaardsplein within walking distance. 
 Layout: 
Central entrance, elevator and staircase to 2nd floor. 
 Entrance apartment, hall with meter cupboard, built-in (wardrobe) cupboard and intercom, very spacious (approx. 40 m2) and bright living-/dining room with access to the balcony at the front. Kitchen at the rear with various (built-in) appliances. 
 From the hallway access to the toilet with washbasin, a built-in closet with washing machine, bathroom with shower, bath  and washbasin. 
 The spacious master bedroom is located at the rear and has a large wardrobe, next to it is the smaller bedroom or study. 
 Details: 
 
 Available 15 January 2025; 
 Rental price € 2.000,- excl. service costs of € 225,- (of which an advance on heating costs € 125,-) and excl. g/w/e/tv&i; 
 Indoor storage on the groundfloor; 
 Parking for one car included; 
 Virtual viewing possible via Whatsapp or FaceTime; 
 
 The foregoing information has been carefully compiled by our office, among other things on the basis of the data made available to us by the lessor. However, no liability can be accepted by Estata Makelaars o.g. for any incomplete or inaccurate information, nor for the consequences thereof.",Duinzigt,Flat,B,For rent: Flat Jan Muschlaan 78,https://www.pararius.com/apartment-for-rent/den-haag/f8066b15/jan-muschlaan,Upholstered,92.0,,,1,2,3,23-12-2024,,2000.0,"Staircase-accessed flat, Apartment",,Excludes: Service costs,,For rent,1968
3231 XM (Brielle),HB Housing,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing,,Not present,Brielle,Existing building,1100.0,"Description 

                                                         Furnished 2-room apartment for rent, located in a fantastic location in the center of Brielle, surrounded by many shops and restaurants. The apartment has a living area of 50m2 and has 1 bedroom. The apartment is suitable for one person and available immediately. 
 Layout: 
The furnished 1-bedroom, 2-room apartment consists of a toilet, living room, kitchen, bathroom. The living room is nicely furnished and has a laminate floor. The open kitchen is equipped with all necessary equipment. The bedroom contains a double bed and a wardrobe. The luxurious bathroom has a shower, sink, toilet and washing machine. Are you looking for a furnished apartment in the center of Brielle? Then this 2-room apartment on the Koopmanstraat is definitely worth a visit! 
 Neighborhood and surroundings: 
The apartment is located near the Europoort and the Maasvlakte. The St. Catharijnekerk, Historisch museum Den Briel and various shops are also within cycling / walking distance. Spijkenisse, Rockanje and Rozenburg are also easily accessible by public transport via direct bus connections from the center. Rotterdam is easily accessible via the N218 and A15. The 2-room apartment is located on the first floor and offers a beautiful view over the picturesque city center of Brielle.",Brielle,Flat,,For rent: Flat Koopmanstraat,https://www.pararius.com/apartment-for-rent/brielle/6e2cd883/koopmanstraat,Upholstered or furnished,50.0,,,1,1,2,23-12-2024,,1500.0,"Upstairs apartment, Apartment",,Includes: Service costs,,For rent,1830
3195 BP (Pernis),Match Wonen,https://www.pararius.com/real-estate-agents/rotterdam/match-wonen,06-01-2025,Not present,Pernis Rotterdam,Existing building,,"Description 

                                                         For Rent: cozy house with 2 bedrooms and garage in Pernis. 
 Are you looking for a comfortable home with a central location and a village-like charm? This well-maintained corner house on Vermaetweg in Pernis has everything you need! 
 About the Location 
Living in Pernis means enjoying peace, a close-knit community, and excellent accessibility. The home is ideally located near Rotterdam, with a metro station and the ring road nearby. Pernis is known for its vibrant community life, with plenty of activities organized by enthusiastic locals. 
 About the Property 
This fully furnished home has a living space of 70 m² on a spacious plot of 272 m², including a private garage (27 m²). With an energy label C, the property also offers space for two cars on the driveway. 
 Layout 
•   Ground Floor: 
Enter the home through the modern kitchen, which features a high bar and all conveniences: a large fridge, separate freezer, combi-microwave, induction cooktop, dishwasher, range hood, and plenty of storage. The spacious living room at the back provides direct access to the garden. From the garden, you can reach the shed and garage, both equipped with electricity. The bathroom with toilet is also located on the ground floor. 
•   First Floor: 
The first floor offers two spacious bedrooms and a separate laundry room with its own central heating system. 
 Key Features 
•   Rent: €1,825 per month 
•   Furnished: Yes (excluding TV, soundbar, garden sets, inflatable jacuzzi, bed, and baby items) 
•   Living Space: 70 m² 
•   Energy Label: C 
•   Heating: Central heating 
•   Availability: From December 31, 2024 
•   Minimum Rental Period: 12 months 
•   Registration: Allowed for 2 adults (friends, students, acquaintances) 
•   Pets/Smoking: Not allowed 
•   Security Deposit: €3,600 
•   Excludes: Gas, water, electricity, home insurance, and internet/TV 
 Financial Requirements 
A gross monthly income of at least three times the rent is required. 
 Rental Process 
After registering via this platform, you’ll receive an onboarding form. Based on a quick review, you may be invited for a viewing. During this process, we’ll ask for the following documents: 
•   Payslips 
•   Employer’s statement 
•   Bank statements 
•   Landlord’s reference 
 Following the viewing, a credit check will be conducted. Suitable candidates will be presented to the owner, who will make the final decision. 
 Interested? 
Sign up now for a chance to make this charming house your new home!",Pernis,House,C,For rent: House Vermaetweg 6,https://www.pararius.com/house-for-rent/pernis-rotterdam/98835cf0/vermaetweg,Furnished,70.0,,,1,2,4,23-12-2024,,1825.0,"Corner house, Family home",,,,For rent,1960
2311 TK (Pieterswijk),RE/MAX Makelaarsgilde Leiden,https://www.pararius.com/real-estate-agents/leiden/re-max-makelaarsgilde-leiden,06-01-2025,Not present,Leiden,Existing building,2200.0,"Description 

                                                         At a beautiful location in a monumental building a furnished 3-room apartment on the first floor with central heating and a common roof terrace. 
 Lay out:  Spacious and bright living room with wooden beams. Luxurious semi open kitchen with all appliances. Two bedrooms. Bathroom with shower, toilet and washbasin. Little outside. Shared roof terrace and washing machine. 
 Special features:  Gas, water, electricity, internet and cable TV included . Common roof terrace, bicycle storage and use of washing machine and was dryer. Nearby the Central Station, Faculty of Law, Leiden University, Webster University, supermarket and shopping streets. Surface area 88m2. Available from the 1st of January 2025",Pieterswijk,Flat,,For rent: Flat Langebrug,https://www.pararius.com/apartment-for-rent/leiden/e91b1312/langebrug,Furnished,88.0,,,1,2,3,23-12-2024,No,2200.0,Upstairs apartment,Unlimited period,"Includes: Electricity, Gas, Service costs, Water",No,For rent,1650
3531 AP (Leidseweg en omgeving),HelloCity,https://www.pararius.com/real-estate-agents/maarssen/hellocity,06-01-2025,Present,Utrecht,Existing building,995.0,"Description 

                                                         Comfortable apartment with balcony for rent in Utrecht in the Leidseweg en omgeving district.",Leidseweg en omgeving,Flat,A,For rent: Flat Krugerstraat 12 BS,https://www.pararius.com/apartment-for-rent/utrecht/c75d0e79/krugerstraat,Upholstered,21.0,,12,1,,1,23-12-2024,No,995.0,"Staircase-accessed flat, Apartment",Unlimited period,Excludes: Service costs,No,For rent,2022
2513 BH (Kortenbos),The Hague Real Estate Services,https://www.pararius.com/real-estate-agents/den-haag/the-hague-real-estate-services,06-01-2025,Not present,Den Haag,Existing building,,"Description 

                                                         Molenstraat 5-C The Hague / Short stay 
 Beautiful and completely renovated furnished apartment located in the atmospheric old town. With a spacious bedroom and a wonderful bathroom, it is wonderful to come home here. You can also cook wonderfully in the open kitchen. The center is a bustling neighborhood that is very popular with young professionals. It is known for its pleasant shopping streets and squares, full of bars and restaurants. The Peace Palace and Noordeinde Palace are also located in this neighborhood. 
 Layout: 
Entrance at street level. Front door is on the first floor. Access to the corridor from which all rooms can be reached. Open living room with many windows and open kitchen. Kitchen is equipped with various equipment, including a combi oven. A bright bedroom with bathroom with a rain shower. Storage room under the stairs. 
 Particularities: 
 
 Completely renovated 
 Beautifully furnished 
 Located in the popular center 
 
 Details: 
 
 Rent excl. €250,- for gas, water and electricity, internet and TV. 
 Short Stay contract applies 
 Deposit required",Kortenbos,Flat,A,For rent: Flat Molenstraat 5 C,https://www.pararius.com/apartment-for-rent/den-haag/738e9ca9/molenstraat,,46.0,,,1,1,2,23-12-2024,,2245.0,"Upstairs apartment, Apartment",,,,For rent,1700
6224 LJ (Wyckerpoort),Border Estate+ B.V.,https://www.pararius.com/real-estate-agents/maastricht/border-estate-b-v,01-02-2025,Not present,Maastricht,,1470.0,"Description 

                                                         Bright and Spacious Room in a Popular Neighborhood – Available for Rent** 
 Looking for a stylish living space that combines comfort and tranquility? This beautiful, bright room offers everything you need and more. Perfect for those seeking a place to make their own in a modern, shared setting. 
 Property Features 
 
 Bright and Spacious Room (Unfurnished): 
A generous, unfurnished room with stunning wooden floors, large windows, and a warm atmosphere. Sliding doors connect the room to a cozy living area, creating an open and functional layout. Design and decorate the space entirely to your own taste. 
 Private Living Room: 
The spacious living room is ideal for relaxing or socializing. Large windows bring in an abundance of natural light, making the space feel warm and inviting. 
 Modern, Fully Equipped Kitchen: 
The kitchen is shared and fully equipped with modern appliances, including an oven, stove, refrigerator, and plenty of storage – perfect for anyone who enjoys cooking. 
 Luxury Bathroom: 
The bathroom is spacious, modern, and fully equipped with a shower and a washing machine. 
 
 Additional Highlights 
 
 Abundant Light and Space:  The large windows and open layout create a fresh and airy feel throughout the apartment. 
 Move-in Ready and Flexible:  With the unfurnished room, you have the freedom to create a space that suits your personal style. 
 Shared Facilities:  Enjoy a balance of your private space and shared areas, such as the kitchen and living room.",Wyckerpoort,Room,,For rent: Room Heerderweg,https://www.pararius.com/room-for-rent/maastricht/80155b67/heerderweg,Shell,25.0,,12,,,1,23-12-2024,No,830.0,,Unlimited period,"Includes: Electricity, Gas, Internet, Service costs, Water",No,For rent,
"3512 LA (Domplein, Neude, Janskerkhof)",Covers Wonen,https://www.pararius.com/real-estate-agents/utrecht/covers-wonen,06-01-2025,Not present,Utrecht,Existing building,,"Description 

                                                         A unique monumental penthouse in the middle of the Museum Quarter two minutes walk from the Cathedral. A very quiet place with private parking for a small city car. 
The location in the old center gives the privilege of having all stores, restaurants and bar within walking distance - while still being in a quiet part of the center. Around the corner is also the green Lepelenburg Park. 
Nearby are several public transport stops and within 5 minutes cycling you reach the central station.  
 Layout: 
Through the basement you enter the apartment. Here you have space for a small wardrobe and a separate storage room. One floor higher you reach by stairs an extra room that can be used for guests or as an office. Another floor higher, the stairs lead you to the bedroom with a beautiful view of the courtyard. Finally, on the top floor, you come to the hall with access to the bathroom and the spacious living kitchen. The bathroom is equipped with a toilet, a bathtub and a shower in the tub. The living kitchen is furnished with a large sofa, dining table and all kitchen appliances. Lots of light, atmosphere and space give this floor its unique character. The possibility of the roof construction, which makes it look beautiful, gives it a wonderful atmosphere. And the last thing not to miss is the view of the beautiful view of the Cathedral. 
 Together with two other houses you share the spacious courtyard, which makes you almost forget that you are actually in the center of Utrecht.  Here is a parking space for a small city car. 
 Details: 
 
 Rental price is exclusive of g/w/l, internet, television and municipal (tenant) charges; (including €100,- furniture) 
 Cleaning costs € 70, - per month; 
 Income requirement: at least 3 times the monthly rent (gross); 
 The deposit is 2 months rent; 
 Furnished; 
 Suitable for 1 working person or a working couple; 
 No house sharing; 
 Smoking and pets are not allowed; 
 Available from 02-01-2025.","Domplein, Neude, Janskerkhof",Flat,,For rent: Flat Hofpoort,https://www.pararius.com/apartment-for-rent/utrecht/708f775c/hofpoort,Furnished,88.0,,,1,1,4,23-12-2024,,2450.0,"Upstairs apartment, Apartment",,,,For rent,1860
5106 NE (Dongen-Vaart),Interhouse verhuurmakelaars Breda,https://www.pararius.com/real-estate-agents/breda/interhouse-verhuurmakelaars-breda,24-01-2025,,Dongen,Existing building,,"Description 

                                                         Looking for a temporary rental home? Modern living comfort and rural charm in this beautiful farmhouse in the Tilburg and Breda area for the period January 25 to mid-August 2025   
 This beautiful farmhouse has a lovely living room and a modern, luxurious kitchen, a master bedroom with ensuite bathroom, 3 bedrooms and a 2nd bathroom.   
 Ground floor: 
From the atmospheric hall there is access to the living room, toilet, study and a fixed staircase to the first floor.   
 Living room with wooden floor, fireplace and open connection to the luxury kitchen. The kitchen is equipped with all appliances, bar, cooking island and sliding doors to the garden. 
From the kitchen you reach the playroom or ideal lounge area for teenagers. 
Garage with space for washing equipment.   
 First floor: 
Master bedroom with bath, cloakroom and ensuite bathroom. Bathroom with double walk-in shower and double washbasin with furniture. Bedroom II, III and III. 2nd bathroom with bath, walk-in shower, toilet and washbasin with furniture.   
 Large garden with terrace, and driveway where several cars can be parked.",Dongen-Vaart,House,,For rent: House Vaartweg,https://www.pararius.com/house-for-rent/dongen/1ea84ea0/vaartweg,Furnished,200.0,,,,,6,23-12-2024,,2500.0,"Detached house, Farmhouse",,,,For rent,2022
3553 EP (Elinkwijk en omgeving),HelloCity,https://www.pararius.com/real-estate-agents/maarssen/hellocity,06-01-2025,Not present,Utrecht,Existing building,1990.0,"Description 

                                                         Comfortable apartment for rent in Utrecht with 1 bedroom in the Elinkwijk en omgeving district.",Elinkwijk en omgeving,Flat,A,For rent: Flat Amsterdamsestraatweg 578,https://www.pararius.com/apartment-for-rent/utrecht/42ba5372/amsterdamsestraatweg,Upholstered,28.0,,,,1,2,23-12-2024,No,995.0,"Upstairs apartment, Apartment",Unlimited period,Excludes: Service costs,No,For rent,2022
2586 XE (Scheveningen Badplaats),Jenter Real Estate,https://www.pararius.com/real-estate-agents/den-haag/jenter-real-estate,06-01-2025,Present,Den Haag,Existing building,,"Description 

                                                         Fully furnished and located in the populair area Scheveningen, 1 bedroom apartment with balcony. The apartment is within walking distance of public transport, the beach and the boulevard with all it's terraces and restaurants. It is very suitable for 1 person or maximum a couple. 
 The entrance of the building is on the ground floor, from where you enter the hall with mailboxes. With an elevator or stairs to the fourth floor. In the porch on this floor you will find the entrance door of the apartment. 
 Hall, spacious and sunny living room with fully equipped open kitchen. The corner sofa in the living room has storage space and can be converted into a double bed for guests. The kitchen has all necessary appliances and there is a cozy dining table. From the living room you have access to the sunny balcony. The bedroom is located at the rear and has a double bed and wardrobes. The bathroom is modern and here you will find a shower, a washbasin and a toilet. The washing machine is also located in the bathroom. 
 At the back of the building is a private parking space that can be used. You don't have your own reserved space so if the parking lot is full you have to park on the street. 
 This beautiful and complete apartment is definitely worth a visit. Contact us for an appointment. 
 A housing permit must be applied for for this property. The maximum income is €57,573 for a 1-person household and €76,764 for a multi-person household.",Scheveningen Badplaats,Flat,B,For rent: Flat 2e Messstraat,https://www.pararius.com/apartment-for-rent/den-haag/607b2a15/2e-messstraat,Upholstered or furnished,40.0,,,1,1,2,23-12-2024,,1250.0,"Mezzanine, Apartment",,"Includes: Electricity, Gas, Water",,Under option,1975
3202 GN (Schiekamp-Zuid),D&S Vastgoed,https://www.pararius.com/real-estate-agents/schiedam/d-en-s-vastgoed,06-01-2025,Present,Spijkenisse,Existing building,,"Description 

                                                         Beautiful apartment with balcony for rent in Spijkenisse with 2 bedrooms in the Schiekamp-Zuid district.",Schiekamp-Zuid,Flat,A+,For rent: Flat Winston Churchilllaan 7 B,https://www.pararius.com/apartment-for-rent/spijkenisse/3e7b9196/winston-churchilllaan,,68.0,,,1,2,3,23-12-2024,,970.0,"Gallery flat, Apartment",,Excludes: Service costs,,For rent,1965
3072 JX (Katendrecht),D&S Vastgoed,https://www.pararius.com/real-estate-agents/schiedam/d-en-s-vastgoed,06-01-2025,Present,Rotterdam,Existing building,,"Description 

                                                         Conveniently located upholstered apartment with balcony for rent in Rotterdam with 2 bedrooms in the Katendrecht district.",Katendrecht,Flat,A++,For rent: Flat Bundweg 65,https://www.pararius.com/apartment-for-rent/rotterdam/1560af89/bundweg,Upholstered,128.0,,,2,2,3,23-12-2024,,2505.0,"Gallery flat, Apartment",,Excludes: Service costs,,For rent,2024
6211 PP (Statenkwartier),Border Estate+ B.V.,https://www.pararius.com/real-estate-agents/maastricht/border-estate-b-v,01-02-2025,Not present,Maastricht,,1282.0,"Description 

                                                         Beautiful Semi-Studio for Rent on Statensingel in Maastricht 
 This charming semi-studio is perfectly located on Statensingel, right in the heart of Maastricht. The property offers an excellent balance between privacy and shared facilities, making it ideal for students or young professionals looking for a comfortable living space in a vibrant area. 
 Features of the Semi-Studio 
 
 Location: 
The semi-studio is situated in a prime location in the center of Maastricht. All essential amenities and hotspots are within easy reach. The  Markt  and  Vrijthof , popular areas full of terraces, shops, and restaurants, are just  5 minutes by bike . 
 Private Bedroom: 
The spacious bedroom comes with its own washbasin, offering extra convenience and privacy. Large windows allow plenty of natural light, giving the room a bright and open atmosphere. 
 
 Shared Facilities: 
 
 Fully Equipped Kitchen:  The shared kitchen includes all essential appliances, such as a stove, refrigerator, and ample storage space – perfect for preparing meals and enjoying moments with housemates. 
 Modern Bathroom:  The shared bathroom is modern, well-maintained, and equipped with all necessary comforts. 
 
 
 
 Bike-Friendly Distances: 
 
 Maastricht University faculties, including  Law ,  Fasos  (Faculty of Arts and Social Sciences), and  SBE (School of Business and Economics), are all within  5 to 10 minutes by bike . This makes the semi-studio particularly attractive for students. 
 Public transport options, including bus and train stations, are within walking distance, ensuring easy accessibility. 
 
 
 
 Additional Highlights 
 
 Central location with all amenities nearby: shops, supermarkets, restaurants, and leisure facilities. 
 Plenty of natural light in the room thanks to large windows. 
 Quiet living environment with the vibrancy of the city center just around the corner. 
 Regularly maintained shared spaces. 
 Perfect base for students or young professionals. 
 
 Don’t wait too long – schedule a viewing today! Contact us for more information and experience the comfort and convenience of this beautiful semi-studio in the heart of Maastricht.",Statenkwartier,Room,,For rent: Room Statensingel,https://www.pararius.com/room-for-rent/maastricht/57734dfa/statensingel,Furnished,20.0,,12,,,1,23-12-2024,No,798.0,,Unlimited period,"Includes: Electricity, Gas, Internet, Service costs, Water",No,For rent,
"3511 JC (Lange Elisabethstraat, Mariaplaats en omgeving)",LG Vastgoed,https://www.pararius.com/real-estate-agents/utrecht/lg-vastgoed,01-02-2025,Not present,Utrecht,Existing building,4400.0,"Description 

                                                         In a lovely spot, in the middle of Utrecht Centrum, on a side street of the Utrechtse Grachten, this brand new sustainable apartment with 2 bedrooms and a roof terrace has come up for rent. 
 This beautiful apartment with a spacious living room with stained glass windows, herringbone PVC floor, 2 bedrooms, large roof terrace with a view of the Dom and a lovely kitchen with various built-in appliances is located on the Hamsteeg. 
 Have you always wanted to live in a prime location in the middle of Utrecht Centrum within walking distance of all the cozy restaurants, bars and shops? Then make an appointment quickly! You are most welcome for a viewing! 
 Details: 
– Available from 1 February 2025 
– Rental contract for at least 12 months 
– Rental price € 2,250,- excluding fixed costs per month 
– The house is rented unfurnished 
– Tenant independently concludes the contracts for water/electricity/TV/internet 
– Fully energy efficient, think of heat pump, gas-free and well insulated 
– Income requirement is 3 times the monthly rent gross 
– 2 months deposit 
– High-quality finish 
– In a beautiful location in the middle of Utrecht 
 The house has not been measured NEN. The dimensions are indicative. No rights can be derived from the floor plan. 
 Protocol for assigning candidate tenants: 
 ******","Lange Elisabethstraat, Mariaplaats en omgeving",Flat,A++,For rent: Flat Hamsteeg,https://www.pararius.com/apartment-for-rent/utrecht/d29e9c6a/hamsteeg,Upholstered,76.0,,12,,2,3,23-12-2024,No,2250.0,"Upstairs apartment, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1900
2343 BH (Haaswijk-Oost),Tweelwonen.nl Leiden,https://www.pararius.com/real-estate-agents/leiden/tweelwonen-nl-leiden,06-01-2025,Not present,Oegstgeest,Existing building,4790.0,"Description 

                                                         Difrectly available, this upholstered beautifully finished single-family home (115m) located in Haaswijk in Oegstgeest. Partly due to good insulation and double glazing, the house carries energy label C. The house is located in the residential area in the middle of the Hotzpark and the Morsebel, and the Klinkenbergerplas recreation area is also easy to cycle to, so you can speak of a lot of greenery around the house. Furthermore, the house has its own driveway with parking for one car, a spacious backyard with a back entrance and an overall luxurious appearance. In total there are 3 bedrooms and the house has a lot of living pleasure due to the finishing level. 
 Layout house; 
Ground floor 
Entrance through the driveway with stone shed, into the spacious hall which provides access to the meter cupboard, the toilet, the stair cupboard and the luxury kitchen which is in open connection with the spacious living room. This floor has a beautiful tiled and wooden floor and, in addition to access to the backyard, also offers a lot of daylight thanks to the windows that extend over the entire rear facade and the extra skylights placed. Both the hall and the living room are equipped with beautiful built-in wardrobes. The kitchen located at the front is spacious and has all modern conveniences, such as a lot of work space, combi oven-microwave, oven, fridge with freezer, dishwasher and a beautiful induction hob with built-in extraction system. From the living room you have access through the sliding door to the nice backyard located on the southwest with a back entrance. 
 First floor 
Via the staircase you can enter the first floor on the landing, here are two bedrooms, the master bedroom located at the rear has spacious fitted wardrobes. This floor also has a very beautifully finished bathroom, which is equipped with a toilet, a walk-in shower and a double sink with a mirror and built-in lighting. 
 Second floor 
The second floor can also be accessed via the fixed staircase. In addition to the technical room with washing machine connection, which is located on this floor, the space can be used as an office space or as a third bedroom. 
 With the Bioscience Park Leiden a short distance away and the Lange Voort shopping center around the corner, the house is ideal for Expats who want to settle here for a longer period, and Amsterdam, The Hague and Rotterdam are also easily accessible via the A44. Oegstgeest is rich in diversity in schools, both for primary and secondary education, including international education. In addition, there are various sports options, such as football, basketball, hockey, tennis and golf. 
 The house is offered unfurnished for € 2395.00 excluding gas, water, electricity, internet, television and municipal taxes.",Haaswijk-Oost,House,C,For rent: House Annie M.G. Schmidtlaan 16,https://www.pararius.com/house-for-rent/oegstgeest/142a0b1d/annie-m-g-schmidtlaan,Upholstered,115.0,,,1,3,4,16-12-2024,,2395.0,"Mid-terrace house, Family home",,,,For rent,1990
1094 GB (Indische Buurt-West),Huizenbalie.nl,https://www.pararius.com/real-estate-agents/tilburg/huizenbalie-nl,06-01-2025,Not present,Amsterdam,Existing building,5000.0,"Description 

                                                         AVAILABLE AS OF TODAY - COMPLETELY RENOVATED 80M2 TWO-BEDROOM APARTMENT IN AMSTERDAM EAST 
 Spacious ground floor apartment with 2 bedrooms, large living room with open kitchen, bathroom, and front and back garden. The appartent is complety renovated (kitchen, bathroom, toilet, floor and walls) in november 2021. The property is located in a quiet residential area in East and very child friendly. The Muiderpoort station, Oosterpark and Dappermarkt are within walking distance. 
 Layout 
In this quiet residential area you can reach the apartment on the ground floor through the front door. You enter the hallway that leads to the kitchen. The open kitchen adjacent to the living room is equipped with all conveniences with (Siemens and AEG) appliances. The living room is located at the front and gets a lot of light through the large windows. The modern bathroom has a walk-in rain shower and washbasin furniture. Opposite the bathroom is the separate toilet. At the rear of the houses are the two strikingly spacious and bright bedrooms. From the left bedroom is the back garden where you can sit in the sun in the morning. In addition, the house contains 1 internal storage room with room for a wasmachine and tumble dryer. 
 Surroundings 
The Muiderpoort station, Flevopark, Oosterpark, Sciencepark, the cozy shopping streets (Middenweg, Javastraat, Dappermarkt) are within walking distance, but the heart of Amsterdam is also easily accessible by bicycle or public transport. Are you dependent on a car: no waiting times for a parking permit, and in no time on the A10! 
 Particularities 
– Living area 80 m2; 
– Backyard; 
– Completely renovated in november 2021; 
– Ground floor apartment with garden; 
– 2 Bedrooms; 
– 1 Storage with room for wasmachine and tumble dryer; 
– No service costs; 
– Available 1-1-2025; 
– Max 2 persons. 
 OUR RENTAL CONDITIONS 
 We apply an income requirement of three times the basic monthly rent as gross monthly income if you intend to rent the property alone. If you wish to rent the property with your partner, the income requirement is at least 3.5 times the basic monthly rent as gross monthly income. 
 We do not accept guarantors. 
 Pets are not allowed. 
 At the request of the landlord, it is not possible to rent this property to shared tenants. Shared tenants are defined as students and/or friends renting the property together. Co-living arrangements involving two or more (highly educated) working individuals are also not permitted. Couples, married partners, or families are eligible to rent this property. 
 This information has been carefully compiled by us. No liability is accepted for any incompleteness, inaccuracy or otherwise, or the consequences thereof. All measurements and dimensions are indicative and not exact according to the NEN-2580 standard.",Indische Buurt-West,Flat,A,For rent: Flat Celebesstraat 150,https://www.pararius.com/apartment-for-rent/amsterdam/5bba044b/celebesstraat,Shell,80.0,,12,1,2,3,16-12-2024,No,2500.0,"Downstairs apartment, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1998
2014 XR (Geschiedschrijversbuurt),Huis Zelf Verhuren,https://www.pararius.com/real-estate-agents/zaandam/huis-zelf-verhuren,01-02-2025,Not present,Haarlem,Existing building,4200.0,"Description 

                                                         English: 
Very bright, playfully laid out and completely renovated ground floor apartment Energy label A with spacious living room, modern bathroom and kitchen, two bedrooms and south-facing garden! 
 The house is located in the very popular Leidsevaart neighborhood, near the Sint Bavokerk and the International School Haarlem. In just 7 minutes you can walk to the center of Haarlem or cycle to Haarlem Central Station. Shopping Center Plaza West Haarlem with various shops, supermarkets and gym are only 700 meters walking distance. 
 Layout: 
 Ground floor:  entrance, hallway with fixed stair cupboard with connections for the washing machine and dryer, spacious toilet room with floating toilet and fountain. 
Bright living room with conservatory (approx. 11.20 x 4.40 m) and door to the south-facing backyard. 
The semi-open kitchen is accessible through the living room and equipped with a combi microwave, dishwasher, fridge with freezer, induction hob with extractor hood. 
Through the kitchen you enter the modern bathroom with sink with furniture and walk-in shower. 
Through the conservatory you walk through a hallway to the 1st bedroom; 
 First floor:  2nd bedroom at the rear. 
 Particularities: 
- Rent € 2,100 per month excluding gas, electricity, water and user taxes 
- Deposit 2 months rent € 4,200 
- Available from February 1, 2025 
- Fully insulated house energy label A 
- Glazing HR++ 
- Full house has underfloor heating 
- Parking by parking permit (Haarlem zone West) 
- Sunny south-facing backyard (approx. 50 m²) 
- Smoking and pets are not allowed in the house 
- Not suitable for home-sharers 
- The house is unfurnished 
- Located a 7-minute walk to the center of Haarlem 
- Located 7 minutes by bike to Haarlem-Central train station 
 ------------------- 
 After an invitation for a viewing, contact is made directly via the home owner/manager. Any agreements made are between prospective tenant and homeowner.",Geschiedschrijversbuurt,Flat,A,For rent: Flat Schreveliusstraat 6 ZW,https://www.pararius.com/apartment-for-rent/haarlem/5989f7ef/schreveliusstraat,Upholstered,95.0,,,1,2,3,16-12-2024,No,2100.0,Downstairs apartment,Unlimited period,Excludes: Service costs,No,For rent,1908
3082 PT (Oud Charlois),Horatio Makelaardij,https://www.pararius.com/real-estate-agents/amsterdam/horatio-makelaardij,,Not present,Rotterdam,Existing building,3500.0,"Description 

                                                         Lovely furnished apartment for rent in Rotterdam with 2 bedrooms in the Oud Charlois district.",Oud Charlois,Flat,B,For rent: Flat Zuidhoek 270 A,https://www.pararius.com/apartment-for-rent/rotterdam/115f6f27/zuidhoek,Upholstered or furnished,90.0,,,2,2,3,16-12-2024,,1750.0,"Upstairs apartment, Double upstairs apartment",,,,For rent,1932
